         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
7.07946e+03 9.57842e+04 4.98323e-01 1.78487e-10 8.74209e-06 5.74785e-01 3.30378e-01 1.69461e-06 1.17062e-01 3.37692e-18 5.69442e-27 5.69442e-27 
7.94328e+03 1.06292e+05 4.98609e-01 1.27122e-10 7.81970e-06 5.63708e-01 3.17767e-01 1.56201e-06 1.04248e-01 3.26228e-18 5.58291e-27 5.58291e-27 
8.91251e+03 1.18074e+05 4.98847e-01 9.05837e-11 6.89732e-06 5.52466e-01 3.05219e-01 1.43734e-06 9.23452e-02 3.15153e-18 5.46345e-27 5.46345e-27 
1.00000e+04 1.31240e+05 4.99046e-01 6.45742e-11 6.00166e-06 5.41065e-01 2.92752e-01 1.32029e-06 8.14633e-02 3.04454e-18 5.33691e-27 5.33691e-27 
1.12202e+04 1.45879e+05 4.99212e-01 4.60506e-11 5.15645e-06 5.29512e-01 2.80383e-01 1.21054e-06 7.16559e-02 2.94118e-18 5.20412e-27 5.20412e-27 
1.25893e+04 1.62026e+05 4.99350e-01 3.28549e-11 4.37988e-06 5.17812e-01 2.68129e-01 1.10781e-06 6.29247e-02 2.84133e-18 5.06603e-27 5.06602e-27 
1.41254e+04 1.79669e+05 4.99464e-01 2.34519e-11 3.68356e-06 5.05973e-01 2.56009e-01 1.01179e-06 5.52330e-02 2.74487e-18 4.92354e-27 4.92354e-27 
1.58489e+04 1.98682e+05 4.99558e-01 1.67507e-11 3.07267e-06 4.94003e-01 2.44039e-01 9.22205e-07 4.85226e-02 2.65168e-18 4.77761e-27 4.77761e-27 
1.77828e+04 2.19262e+05 4.99636e-01 1.19657e-11 2.54825e-06 4.81911e-01 2.32238e-01 8.38771e-07 4.27346e-02 2.56166e-18 4.62959e-27 4.62958e-27 
1.99526e+04 2.41444e+05 4.99700e-01 8.54561e-12 2.10694e-06 4.69705e-01 2.20623e-01 7.61213e-07 3.78200e-02 2.47469e-18 4.48085e-27 4.48085e-27 
2.23872e+04 2.66751e+05 4.99753e-01 6.08710e-12 1.74478e-06 4.57396e-01 2.09211e-01 6.89260e-07 3.37574e-02 2.39068e-18 4.33380e-27 4.33379e-27 
2.51189e+04 2.96255e+05 4.99798e-01 4.31809e-12 1.45478e-06 4.44994e-01 1.98020e-01 6.22645e-07 3.05544e-02 2.30952e-18 4.19075e-27 4.19075e-27 
